Data,Temp. Max. (C),Variation,Avg.3D,Avg.7D,Weekday,Month
2022-05-21 09:00:00,11.0,0.0,11.0,11.200000000000001,5,5
2022-05-21 10:00:00,10.9,0.0,11.0,11.057142857142859,5,5
2022-05-21 11:00:00,11.3,-0.09999999999999964,10.966666666666667,10.971428571428573,5,5
2022-05-21 12:00:00,12.5,0.40000000000000036,11.066666666666668,11.028571428571428,5,5
2022-05-21 13:00:00,14.6,1.1999999999999993,11.566666666666668,11.242857142857144,5,5
2022-05-21 14:00:00,16.4,2.0999999999999996,12.799999999999999,11.757142857142856,5,5
2022-05-21 15:00:00,17.9,1.799999999999999,14.5,12.528571428571427,5,5
2022-05-21 16:00:00,19.6,1.5,16.299999999999997,13.514285714285714,5,5
2022-05-21 17:00:00,20.0,1.7000000000000028,17.966666666666665,14.742857142857142,5,5
2022-05-21 18:00:00,19.5,0.3999999999999986,19.166666666666668,16.04285714285714,5,5
2022-05-21 19:00:00,19.9,-0.5,19.7,17.214285714285715,5,5
2022-05-21 20:00:00,18.7,0.3999999999999986,19.799999999999997,18.27142857142857,5,5
2022-05-21 21:00:00,15.1,-1.1999999999999993,19.366666666666664,18.857142857142858,5,5
2022-05-21 22:00:00,14.2,-3.5999999999999996,17.9,18.67142857142857,5,5
2022-05-21 23:00:00,13.9,-0.9000000000000004,15.999999999999998,18.142857142857142,5,5
2022-05-22 00:00:00,13.5,-0.29999999999999893,14.399999999999999,17.32857142857143,6,5
2022-05-22 01:00:00,13.6,-0.40000000000000036,13.866666666666665,16.400000000000002,6,5
2022-05-22 02:00:00,13.3,0.09999999999999964,13.666666666666666,15.557142857142859,6,5
2022-05-22 03:00:00,13.3,-0.29999999999999893,13.466666666666667,14.614285714285714,6,5
2022-05-22 04:00:00,13.1,0.0,13.399999999999999,13.842857142857142,6,5
2022-05-22 05:00:00,12.8,-0.20000000000000107,13.233333333333333,13.557142857142859,6,5
2022-05-22 06:00:00,12.8,-0.29999999999999893,13.066666666666668,13.357142857142858,6,5
2022-05-22 07:00:00,12.4,0.0,12.899999999999999,13.2,6,5
2022-05-22 08:00:00,11.9,-0.40000000000000036,12.666666666666666,13.042857142857144,6,5
2022-05-22 09:00:00,11.4,-0.5,12.366666666666665,12.799999999999999,6,5
2022-05-22 10:00:00,11.6,-0.5,11.899999999999999,12.528571428571428,6,5
2022-05-22 11:00:00,12.0,0.1999999999999993,11.633333333333333,12.285714285714286,6,5
2022-05-22 12:00:00,14.4,0.40000000000000036,11.666666666666666,12.12857142857143,6,5
2022-05-22 13:00:00,15.8,2.4000000000000004,12.666666666666666,12.357142857142858,6,5
2022-05-22 14:00:00,17.5,1.4000000000000004,14.066666666666665,12.785714285714286,6,5
2022-05-22 15:00:00,18.6,1.6999999999999993,15.899999999999999,13.514285714285714,6,5
2022-05-22 16:00:00,20.0,1.1000000000000014,17.3,14.471428571428572,6,5
2022-05-22 17:00:00,20.9,1.3999999999999986,18.7,15.700000000000001,6,5
2022-05-22 18:00:00,21.2,0.8999999999999986,19.833333333333332,17.028571428571432,6,5
2022-05-22 19:00:00,20.8,0.3000000000000007,20.7,18.342857142857145,6,5
2022-05-22 20:00:00,20.3,-0.3999999999999986,20.966666666666665,19.25714285714286,6,5
2022-05-22 21:00:00,17.1,-0.5,20.766666666666666,19.900000000000002,6,5
2022-05-22 22:00:00,15.5,-3.1999999999999993,19.399999999999995,19.842857142857145,6,5
2022-05-22 23:00:00,14.3,-1.6000000000000014,17.63333333333333,19.400000000000002,6,5
2022-05-23 00:00:00,13.9,-1.1999999999999993,15.633333333333333,18.585714285714285,0,5
2022-05-23 01:00:00,13.6,-0.40000000000000036,14.566666666666665,17.585714285714285,0,5
2022-05-23 02:00:00,12.8,-0.3000000000000007,13.933333333333332,16.5,0,5
2022-05-23 03:00:00,12.4,-0.7999999999999989,13.433333333333332,15.357142857142858,0,5
2022-05-23 04:00:00,12.4,-0.40000000000000036,12.933333333333332,14.228571428571428,0,5
2022-05-23 05:00:00,12.1,0.0,12.533333333333331,13.557142857142859,0,5
2022-05-23 06:00:00,12.0,-0.3000000000000007,12.299999999999997,13.071428571428571,0,5
2022-05-23 07:00:00,11.6,-0.09999999999999964,12.166666666666664,12.742857142857142,0,5
2022-05-23 08:00:00,10.8,-0.40000000000000036,11.899999999999997,12.414285714285715,0,5
2022-05-23 09:00:00,11.1,-0.7999999999999989,11.466666666666663,12.014285714285716,0,5
2022-05-23 10:00:00,11.7,0.29999999999999893,11.166666666666664,11.77142857142857,0,5
2022-05-23 11:00:00,13.7,0.5999999999999996,11.199999999999998,11.671428571428573,0,5
2022-05-23 12:00:00,15.6,2.0,12.166666666666664,11.857142857142858,0,5
2022-05-23 13:00:00,18.1,1.9000000000000004,13.666666666666663,12.357142857142858,0,5
2022-05-23 14:00:00,19.7,2.5000000000000018,15.799999999999997,13.22857142857143,0,5
2022-05-23 15:00:00,21.2,1.5999999999999979,17.799999999999997,14.385714285714284,0,5
2022-05-23 16:00:00,21.9,1.5,19.666666666666668,15.87142857142857,0,5
2022-05-23 17:00:00,22.8,0.6999999999999993,20.933333333333326,17.414285714285715,0,5
2022-05-23 18:00:00,23.7,0.9000000000000021,21.966666666666665,19.0,0,5
2022-05-23 19:00:00,23.1,0.8999999999999986,22.799999999999997,20.428571428571427,0,5
2022-05-23 20:00:00,21.1,-0.5999999999999979,23.2,21.5,0,5
2022-05-23 21:00:00,18.4,-2.0,22.63333333333333,21.928571428571427,0,5
